"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
140.299994,140.810005,139.650005,140,183222900,18.521786
141.649998,144.180002,140,143.750006,291943400,19.017906
143.309996,145.219999,140.929995,143.700005,259122500,19.011291
138.880001,140.999996,134.15,134.890003,448823200,17.845741
137.350006,138.360003,135.000006,137.260004,374045700,18.159288
145.910002,148.499994,136.959997,146.000004,546657300,19.315577
146.189995,148.920004,143.780006,143.849995,290274600,19.031134
144.330006,145.450005,139.570004,141.430006,276747100,18.710973
142.970001,143.48,131.520006,131.759998,440598200,17.431646
133.640001,135.380001,127.77,135.000006,437539200,17.860294
136.650003,136.959997,134.15,136.49,213161200,18.057418
135.259998,135.950001,131.500006,131.85,169796900,17.443553
132.899998,135.269999,128.299999,135.249998,231292600,17.893368
134.940004,137.240004,132.630005,135.030006,237484100,17.864263
136.760006,136.859995,132.000004,134.009996,202024200,17.729317
131.109997,133,125.090006,126.389996,281348900,16.721203
123.120001,127.75,120.300003,125.000004,352687300,16.537309
128.32,129.349997,126.499998,127.790001,188227900,16.906422
128.289999,128.299999,123.710001,124.029995,184751700,16.408979
122.740005,124.860001,119.650002,119.899994,248213000,15.862586
117.009995,118.500002,111.619998,117.049995,466672500,15.485535
122.010002,123.499996,119.820005,122.060003,298765600,16.148352
123.959993,124.500006,120.499994,122.219994,200829300,16.169518
122.209993,128.960001,121.000006,127.569996,325761800,16.877315
131.219999,132.749994,130.330006,132.510002,265441400,17.53087
133.090002,133.339994,129.760006,131.069996,216709500,17.34036
130.529997,135.370001,129.809994,135.299999,227958500,17.899983
133.389996,134.659998,132.100006,132.249996,176859900,17.496472
130.989994,132.41,126.630001,126.820005,294841400,16.778093
129.879995,134.18,129.540001,134.079998,291715200,17.738579
132.670006,138.25,132.299997,136.249994,358895600,18.025666
139.490002,139.650005,137.409994,138.480005,219221800,18.320693
139.939999,145.729998,139.839996,144.160002,329210700,19.072148
144.969994,145.84,136.100004,136.760006,582055600,18.093139
135.560005,137.569998,132.709993,135.010006,475315400,17.861617
132.010004,132.299997,129.999998,131.769999,357644000,17.432969
136.989998,138.039995,133.949995,136.710005,371959700,18.086524
137.900005,138.300001,133.750004,135.490004,242971400,17.92512
135.990002,139.4,135.749996,136.849995,255692500,18.105045
138.83,139.000004,136.650003,137.200003,164040800,18.15135
136.570002,138.980003,136.200006,138.809999,151830000,18.36435
138.990004,140.59,137.599998,138.410004,198342900,18.311432
